year,month,ipc
1937,7,0.000000159
1937,8,0.00000016
1937,9,0.000000159
1937,10,0.00000016
1937,11,0.000000161
1937,12,0.000000161
1938,1,0.000000162
1938,2,0.000000156
1938,3,0.000000155
1938,4,0.000000155
1938,5,0.000000159
1938,6,0.00000016
1938,7,0.000000163
1938,8,0.000000163
1938,9,0.000000163
1938,10,0.000000162
1938,11,0.000000163
1938,12,0.000000162
1939,1,0.000000167
1939,2,0.000000165
1939,3,0.000000164
1939,4,0.000000171
1939,5,0.000000171
1939,6,0.000000169
1939,7,0.000000169
1939,8,0.000000168
1939,9,0.00000017
1939,10,0.000000171
1939,11,0.000000173
1939,12,0.000000179
1940,1,0.000000176
1940,2,0.000000176
1940,3,0.000000177
1940,4,0.000000176
1940,5,0.000000174
1940,6,0.000000178
1940,7,0.000000178
1940,8,0.000000178
1940,9,0.000000178
1940,10,0.000000178
1940,11,0.000000178
1940,12,0.000000179
1941,1,0.000000179
1941,2,0.000000178
1941,3,0.000000178
1941,4,0.000000178
1941,5,0.000000178
1941,6,0.000000179
1941,7,0.000000176
1941,8,0.000000176
1941,9,0.000000177
1941,10,0.000000177
1941,11,0.000000178
1941,12,0.000000179
1942,1,0.000000178
1942,2,0.000000183
1942,3,0.000000184
1942,4,0.000000184
1942,5,0.000000186
1942,6,0.000000185
1942,7,0.000000186
1942,8,0.000000183
1942,9,0.000000183
1942,10,0.000000183
1942,11,0.000000183
1942,12,0.000000185
1943,1,0.000000188
1943,2,0.000000191
1943,3,0.000000197
1943,4,0.000000198
1943,5,0.000000196
1943,6,0.000000193
1943,7,0.000000193
1943,8,0.000000193
1943,9,0.0000002
1943,10,0.000000206
1943,11,0.000000199
1943,12,0.000000193
1944,1,0.000000193
1944,2,0.000000192
1944,3,0.000000195
1944,4,0.000000196
1944,5,0.000000203
1944,6,0.000000203
1944,7,0.000000203
1944,8,0.000000206
1944,9,0.000000208
1944,10,0.00000021
1944,11,0.000000209
1944,12,0.000000208
1945,1,0.000000211
1945,2,0.000000219
1945,3,0.000000221
1945,4,0.000000221
1945,5,0.000000222
1945,6,0.000000226
1945,7,0.000000232
1945,8,0.000000245
1945,9,0.000000235
1945,10,0.000000236
1945,11,0.000000238
1945,12,0.000000235
1946,1,0.00000024
1946,2,0.000000242
1946,3,0.000000245
1946,4,0.000000244
1946,5,0.00000025
1946,6,0.000000254
1946,7,0.000000257
1946,8,0.000000257
1946,9,0.000000256
1946,10,0.000000256
1946,11,0.000000257
1946,12,0.000000267
1947,1,0.000000271
1947,2,0.000000278
1947,3,0.00000028
1947,4,0.000000291
1947,5,0.000000293
1947,6,0.000000295
1947,7,0.000000297
1947,8,0.000000301
1947,9,0.000000294
1947,10,0.000000294
1947,11,0.000000294
1947,12,0.000000295
1948,1,0.000000297
1948,2,0.000000293
1948,3,0.000000293
1948,4,0.000000291
1948,5,0.000000291
1948,6,0.000000289
1948,7,0.000000295
1948,8,0.000000295
1948,9,0.000000298
1948,10,0.000000297
1948,11,0.000000301
1948,12,0.000000302
1949,1,0.000000314
1949,2,0.000000318
1949,3,0.000000319
1949,4,0.000000316
1949,5,0.000000314
1949,6,0.000000319
1949,7,0.000000319
1949,8,0.000000315
1949,9,0.000000295
1949,10,0.000000298
1949,11,0.000000296
1949,12,0.000000297
1950,1,0.000000293
1950,2,0.000000295
1950,3,0.000000297
1950,4,0.0000003
1950,5,0.000000293
1950,6,0.000000296
1950,7,0.000000297
1950,8,0.000000295
1950,9,0.000000293
1950,10,0.000000297
1950,11,0.000000303
1950,12,0.000000303
1951,1,0.000000312
1951,2,0.000000312
1951,3,0.000000311
1951,4,0.000000338
1951,5,0.000000338
1951,6,0.000000341
1951,7,0.000000341
1951,8,0.000000345
1951,9,0.000000355
1951,10,0.000000358
1951,11,0.000000365
1951,12,0.000000367
1952,1,0.000000366
1952,2,0.000000374
1952,3,0.00000038
1952,4,0.000000382
1952,5,0.000000381
1952,6,0.000000385
1952,7,0.00000039
1952,8,0.000000389
1952,9,0.000000397
1952,10,0.000000397
1952,11,0.000000402
1952,12,0.000000407
1953,1,0.000000406
1953,2,0.000000401
1953,3,0.000000402
1953,4,0.000000404
1953,5,0.000000409
1953,6,0.000000405
1953,7,0.000000408
1953,8,0.000000409
1953,9,0.000000424
1953,10,0.000000425
1953,11,0.000000426
1953,12,0.000000445
1954,1,0.00000044
1954,2,0.000000441
1954,3,0.000000442
1954,4,0.000000451
1954,5,0.000000456
1954,6,0.000000473
1954,7,0.000000465
1954,8,0.00000046
1954,9,0.000000477
1954,10,0.000000481
1954,11,0.000000483
1954,12,0.00000048
1955,1,0.000000488
1955,2,0.000000487
1955,3,0.00000049
1955,4,0.000000491
1955,5,0.000000493
1955,6,0.000000494
1955,7,0.000000507
1955,8,0.000000517
1955,9,0.000000505
1955,10,0.000000514
1955,11,0.000000518
1955,12,0.000000531
1956,1,0.000000534
1956,2,0.000000531
1956,3,0.000000524
1956,4,0.000000518
1956,5,0.00000054
1956,6,0.000000534
1956,7,0.000000536
1956,8,0.000000531
1956,9,0.00000053
1956,10,0.000000552
1956,11,0.000000553
1956,12,0.000000562
1957,1,0.000000572
1957,2,0.000000578
1957,3,0.000000572
1957,4,0.000000569
1957,5,0.000000575
1957,6,0.000000632
1957,7,0.000000643
1957,8,0.000000635
1957,9,0.00000064
1957,10,0.000000642
1957,11,0.000000665
1957,12,0.000000666
1958,1,0.000000677
1958,2,0.000000677
1958,3,0.000000688
1958,4,0.000000708
1958,5,0.000000709
1958,6,0.00000071
1958,7,0.000000722
1958,8,0.000000719
1958,9,0.000000744
1958,10,0.000000752
1958,11,0.000000778
1958,12,0.000000797
1959,1,0.00000083
