date,value
2002-06-01,1.0
2002-06-02,1.0004
2002-06-03,1.0008
2002-06-04,1.0012
2002-06-05,1.0016
2002-06-06,1.002
2002-06-07,1.0024
2002-06-08,1.0029
2002-06-09,1.0033
2002-06-10,1.0037
2002-06-11,1.0041
2002-06-12,1.0045
2002-06-13,1.0049
2002-06-14,1.0053
2002-06-15,1.0057
2002-06-16,1.0061
2002-06-17,1.0065
2002-06-18,1.0069
2002-06-19,1.0074
2002-06-20,1.0078
2002-06-21,1.0082
2002-06-22,1.0086
2002-06-23,1.009
2002-06-24,1.0094
2002-06-25,1.0098
2002-06-26,1.0102
2002-06-27,1.0106
2002-06-28,1.0111
2002-06-29,1.0115
2002-06-30,1.0119
2002-07-01,1.0125
2002-07-02,1.013
2002-07-03,1.0136
2002-07-04,1.0142
2002-07-05,1.0148
2002-07-06,1.0153
2002-07-07,1.0159
2002-07-08,1.0165
2002-07-09,1.0171
2002-07-10,1.0176
2002-07-11,1.0182
2002-07-12,1.0188
2002-07-13,1.0194
2002-07-14,1.02
2002-07-15,1.0205
2002-07-16,1.0211
2002-07-17,1.0217
2002-07-18,1.0223
2002-07-19,1.0228
2002-07-20,1.0234
2002-07-21,1.024
2002-07-22,1.0246
2002-07-23,1.0252
2002-07-24,1.0257
2002-07-25,1.0263
2002-07-26,1.0269
2002-07-27,1.0275
2002-07-28,1.0281
2002-07-29,1.0287
2002-07-30,1.0292
2002-07-31,1.0298
2002-08-01,1.0314
2002-08-02,1.033
2002-08-03,1.0345
2002-08-04,1.0361
2002-08-05,1.0377
2002-08-06,1.0393
2002-08-07,1.0409
2002-08-08,1.0425
2002-08-09,1.0441
2002-08-10,1.0457
2002-08-11,1.0473
2002-08-12,1.0489
2002-08-13,1.0505
2002-08-14,1.0521
2002-08-15,1.0537
2002-08-16,1.0553
2002-08-17,1.057
2002-08-18,1.0586
2002-08-19,1.0602
2002-08-20,1.0618
2002-08-21,1.0635
2002-08-22,1.0651
2002-08-23,1.0667
2002-08-24,1.0683
2002-08-25,1.07
2002-08-26,1.0716
2002-08-27,1.0733
2002-08-28,1.0749
2002-08-29,1.0766
2002-08-30,1.0782
2002-08-31,1.0799
2002-09-01,1.082
2002-09-02,1.084
2002-09-03,1.0861
2002-09-04,1.0881
2002-09-05,1.0902
2002-09-06,1.0922
2002-09-07,1.0943
2002-09-08,1.0963
2002-09-09,1.0984
2002-09-10,1.1005
2002-09-11,1.1026
2002-09-12,1.1046
2002-09-13,1.1067
2002-09-14,1.1088
2002-09-15,1.1109
2002-09-16,1.1131
2002-09-17,1.1151
2002-09-18,1.1173
2002-09-19,1.1193
2002-09-20,1.1215
2002-09-21,1.1235
2002-09-22,1.1257
2002-09-23,1.1278
2002-09-24,1.13
2002-09-25,1.1321
2002-09-26,1.1342
2002-09-27,1.1364
2002-09-28,1.1385
2002-09-29,1.1407
2002-09-30,1.1429
2002-10-01,1.144
2002-10-02,1.1452
2002-10-03,1.1463
2002-10-04,1.1474
2002-10-05,1.1486
2002-10-06,1.1497
2002-10-07,1.1509
2002-10-08,1.152
2002-10-09,1.1531
2002-10-10,1.1543
2002-10-11,1.1554
2002-10-12,1.1566
2002-10-13,1.1577
2002-10-14,1.1589
2002-10-15,1.16
2002-10-16,1.1612
2002-10-17,1.1623
2002-10-18,1.1635
2002-10-19,1.1646
2002-10-20,1.1658
2002-10-21,1.1669
2002-10-22,1.1681
2002-10-23,1.1693
2002-10-24,1.1704
2002-10-25,1.1716
2002-10-26,1.1727
2002-10-27,1.1739
2002-10-28,1.1751
2002-10-29,1.1762
2002-10-30,1.1774
2002-10-31,1.1786
2002-11-01,1.179
2002-11-02,1.1794
2002-11-03,1.1797
2002-11-04,1.1801
2002-11-05,1.1805
2002-11-06,1.1809
2002-11-07,1.1813
2002-11-08,1.1816
2002-11-09,1.182
2002-11-10,1.1824
2002-11-11,1.1828
2002-11-12,1.1832
2002-11-13,1.1835
2002-11-14,1.1839
2002-11-15,1.1843
2002-11-16,1.1847
2002-11-17,1.1851
2002-11-18,1.1854
2002-11-19,1.1858
2002-11-20,1.1862
2002-11-21,1.1866
2002-11-22,1.187
2002-11-23,1.1874
2002-11-24,1.1877
2002-11-25,1.1881
2002-11-26,1.1885
2002-11-27,1.1889
2002-11-28,1.1893
2002-11-29,1.1896
2002-11-30,1.19
2002-12-01,1.1902
2002-12-02,1.1903
2002-12-03,1.1905
2002-12-04,1.1907
2002-12-05,1.1908
2002-12-06,1.191
2002-12-07,1.1912
2002-12-08,1.1913
2002-12-09,1.1915
2002-12-10,1.1916
2002-12-11,1.1918
2002-12-12,1.192
2002-12-13,1.1921
2002-12-14,1.1923
2002-12-15,1.1925
2002-12-16,1.1926
2002-12-17,1.1928
2002-12-18,1.193
2002-12-19,1.1931
2002-12-20,1.1933
2002-12-21,1.1935
2002-12-22,1.1936
2002-12-23,1.1938
2002-12-24,1.194
2002-12-25,1.1941
2002-12-26,1.1943
2002-12-27,1.1945
2002-12-28,1.1946
2002-12-29,1.1948
2002-12-30,1.195
2002-12-31,1.1951
2003-01-01,1.1956
2003-01-02,1.1961
2003-01-03,1.1965
2003-01-04,1.197
2003-01-05,1.1975
2003-01-06,1.198
2003-01-07,1.1985
2003-01-08,1.199
2003-01-09,1.1995
2003-01-10,1.1999
2003-01-11,1.2004
2003-01-12,1.2009
2003-01-13,1.2014
2003-01-14,1.2019
2003-01-15,1.2024
2003-01-16,1.2028
2003-01-17,1.2033
2003-01-18,1.2038
2003-01-19,1.2043
2003-01-20,1.2048
2003-01-21,1.2053
2003-01-22,1.2058
2003-01-23,1.2063
2003-01-24,1.2067
2003-01-25,1.2072
2003-01-26,1.2077
2003-01-27,1.2082
2003-01-28,1.2087
2003-01-29,1.2092
2003-01-30,1.2097
2003-01-31,1.2102
2003-02-01,1.211
2003-02-02,1.2118
2003-02-03,1.2126
2003-02-04,1.2134
2003-02-05,1.2142
2003-02-06,1.215
2003-02-07,1.2158
2003-02-08,1.2166
2003-02-09,1.2174
2003-02-10,1.2182
2003-02-11,1.219
2003-02-12,1.2198
2003-02-13,1.2207
2003-02-14,1.2215
2003-02-15,1.2223
2003-02-16,1.2231
2003-02-17,1.2239
2003-02-18,1.2247
2003-02-19,1.2255
2003-02-20,1.2263
2003-02-21,1.2271
2003-02-22,1.2279
2003-02-23,1.2288
2003-02-24,1.2296
2003-02-25,1.2304
2003-02-26,1.2312
2003-02-27,1.232
2003-02-28,1.2328
2003-03-01,1.2333
2003-03-02,1.2339
2003-03-03,1.2344
2003-03-04,1.235
2003-03-05,1.2355
2003-03-06,1.236
2003-03-07,1.2366
2003-03-08,1.2371
2003-03-09,1.2376
2003-03-10,1.2382
2003-03-11,1.2387
2003-03-12,1.2393
2003-03-13,1.2398
2003-03-14,1.2403
2003-03-15,1.2409
2003-03-16,1.2414
2003-03-17,1.242
2003-03-18,1.2425
2003-03-19,1.243
2003-03-20,1.2436
2003-03-21,1.2441
2003-03-22,1.2447
2003-03-23,1.2452
2003-03-24,1.2458
2003-03-25,1.2463
2003-03-26,1.2468
2003-03-27,1.2474
2003-03-28,1.2479
2003-03-29,1.2485
2003-03-30,1.249
2003-03-31,1.2496
2003-04-01,1.2501
2003-04-02,1.2506
2003-04-03,1.2511
2003-04-04,1.2517
2003-04-05,1.2522
2003-04-06,1.2527
2003-04-07,1.2532
2003-04-08,1.2537
2003-04-09,1.2542
2003-04-10,1.2547
2003-04-11,1.2553
2003-04-12,1.2558
2003-04-13,1.2563
2003-04-14,1.2568
2003-04-15,1.2573
2003-04-16,1.2578
2003-04-17,1.2584
2003-04-18,1.2589
2003-04-19,1.2594
2003-04-20,1.2599
2003-04-21,1.2604
2003-04-22,1.2609
2003-04-23,1.2615
2003-04-24,1.262
2003-04-25,1.2625
2003-04-26,1.263
2003-04-27,1.2635
2003-04-28,1.2641
2003-04-29,1.2646
2003-04-30,1.2651
2003-05-01,1.2655
2003-05-02,1.2659
2003-05-03,1.2663
2003-05-04,1.2666
2003-05-05,1.267
2003-05-06,1.2674
2003-05-07,1.2678
2003-05-08,1.2682
2003-05-09,1.2686
2003-05-10,1.269
2003-05-11,1.2694
2003-05-12,1.2697
2003-05-13,1.2701
2003-05-14,1.2705
2003-05-15,1.2709
2003-05-16,1.2713
2003-05-17,1.2717
2003-05-18,1.2721
2003-05-19,1.2725
2003-05-20,1.2728
2003-05-21,1.2732
2003-05-22,1.2736
2003-05-23,1.274
2003-05-24,1.2744
2003-05-25,1.2748
2003-05-26,1.2752
2003-05-27,1.2756
2003-05-28,1.276
2003-05-29,1.2763
2003-05-30,1.2767
2003-05-31,1.2771
2003-06-01,1.2773
2003-06-02,1.2774
2003-06-03,1.2776
2003-06-04,1.2777
2003-06-05,1.2779
2003-06-06,1.278
2003-06-07,1.2782
2003-06-08,1.2784
2003-06-09,1.2785
2003-06-10,1.2787
2003-06-11,1.2788
2003-06-12,1.279
2003-06-13,1.2791
2003-06-14,1.2793
2003-06-15,1.2795
2003-06-16,1.2796
2003-06-17,1.2798
2003-06-18,1.2799
2003-06-19,1.2801
2003-06-20,1.2802
2003-06-21,1.2804
2003-06-22,1.2806
2003-06-23,1.2807
2003-06-24,1.2809
2003-06-25,1.281
2003-06-26,1.2812
2003-06-27,1.2814
2003-06-28,1.2815
2003-06-29,1.2817
2003-06-30,1.2818
2003-07-01,1.2819
2003-07-02,1.2819
2003-07-03,1.282
2003-07-04,1.2821
2003-07-05,1.2821
2003-07-06,1.2822
2003-07-07,1.2823
2003-07-08,1.2823
2003-07-09,1.2824
2003-07-10,1.2825
2003-07-11,1.2825
2003-07-12,1.2826
2003-07-13,1.2827
2003-07-14,1.2827
2003-07-15,1.2828
2003-07-16,1.2829
2003-07-17,1.2829
2003-07-18,1.283
2003-07-19,1.2831
2003-07-20,1.2831
2003-07-21,1.2832
2003-07-22,1.2833
2003-07-23,1.2833
2003-07-24,1.2834
2003-07-25,1.2835
2003-07-26,1.2835
2003-07-27,1.2836
2003-07-28,1.2837
2003-07-29,1.2837
2003-07-30,1.2838
2003-07-31,1.2839
2003-08-01,1.2841
2003-08-02,1.2843
2003-08-03,1.2845
2003-08-04,1.2847
2003-08-05,1.2849
2003-08-06,1.2851
2003-08-07,1.2853
2003-08-08,1.2856
2003-08-09,1.2858
2003-08-10,1.286
2003-08-11,1.2862
2003-08-12,1.2864
2003-08-13,1.2866
2003-08-14,1.2868
2003-08-15,1.287
2003-08-16,1.2872
2003-08-17,1.2874
2003-08-18,1.2876
2003-08-19,1.2878
2003-08-20,1.288
2003-08-21,1.2882
2003-08-22,1.2885
2003-08-23,1.2887
2003-08-24,1.2889
2003-08-25,1.2891
2003-08-26,1.2893
2003-08-27,1.2895
2003-08-28,1.2897
2003-08-29,1.2899
2003-08-30,1.2901
2003-08-31,1.2903
2003-09-01,1.2905
2003-09-02,1.2907
2003-09-03,1.2909
2003-09-04,1.2911
2003-09-05,1.2913
2003-09-06,1.2918
2003-09-07,1.2923
2003-09-08,1.2928
2003-09-09,1.2933
2003-09-10,1.2938
2003-09-11,1.2943
2003-09-12,1.2948
2003-09-13,1.2953
2003-09-14,1.2958
2003-09-15,1.2963
2003-09-16,1.2968
2003-09-17,1.2973
2003-09-18,1.2978
2003-09-19,1.2983
2003-09-20,1.2988
2003-09-21,1.2993
2003-09-22,1.2998
2003-09-23,1.3003
2003-09-24,1.3008
2003-09-25,1.3013
2003-09-26,1.3018
2003-09-27,1.3023
2003-09-28,1.3028
2003-09-29,1.3033
2003-09-30,1.3038
2003-10-01,1.3043
2003-10-02,1.3048
2003-10-03,1.3053
2003-10-04,1.3058
2003-10-05,1.3063
2003-10-06,1.3066
2003-10-07,1.307
2003-10-08,1.3073
2003-10-09,1.3076
2003-10-10,1.308
2003-10-11,1.3083
2003-10-12,1.3087
2003-10-13,1.309
2003-10-14,1.3093
2003-10-15,1.3097
2003-10-16,1.31
2003-10-17,1.3103
2003-10-18,1.3107
2003-10-19,1.311
2003-10-20,1.3113
2003-10-21,1.3117
2003-10-22,1.312
2003-10-23,1.3124
2003-10-24,1.3127
2003-10-25,1.313
2003-10-26,1.3134
2003-10-27,1.3137
2003-10-28,1.314
2003-10-29,1.3144
2003-10-30,1.3147
2003-10-31,1.3151
2003-11-01,1.3154
2003-11-02,1.3157
2003-11-03,1.3161
2003-11-04,1.3164
2003-11-05,1.3168
2003-11-06,1.317
2003-11-07,1.3173
2003-11-08,1.3175
2003-11-09,1.3177
2003-11-10,1.3179
2003-11-11,1.3182
2003-11-12,1.3184
2003-11-13,1.3186
2003-11-14,1.3189
2003-11-15,1.3191
2003-11-16,1.3193
2003-11-17,1.3195
2003-11-18,1.3198
2003-11-19,1.32
2003-11-20,1.3202
2003-11-21,1.3204
2003-11-22,1.3207
2003-11-23,1.3209
2003-11-24,1.3211
2003-11-25,1.3214
2003-11-26,1.3216
2003-11-27,1.3218
2003-11-28,1.322
2003-11-29,1.3223
2003-11-30,1.3225
2003-12-01,1.3227
2003-12-02,1.323
2003-12-03,1.3232
2003-12-04,1.3234
2003-12-05,1.3236
2003-12-06,1.3237
2003-12-07,1.3237
2003-12-08,1.3238
2003-12-09,1.3239
2003-12-10,1.3239
2003-12-11,1.324
2003-12-12,1.3241
2003-12-13,1.3241
2003-12-14,1.3242
2003-12-15,1.3243
2003-12-16,1.3244
2003-12-17,1.3244
2003-12-18,1.3245
2003-12-19,1.3246
2003-12-20,1.3246
2003-12-21,1.3247
2003-12-22,1.3248
2003-12-23,1.3248
2003-12-24,1.3249
2003-12-25,1.325
2003-12-26,1.325
2003-12-27,1.3251
2003-12-28,1.3252
2003-12-29,1.3252
2003-12-30,1.3253
2003-12-31,1.3254
2004-01-01,1.3254
2004-01-02,1.3255
2004-01-03,1.3256
2004-01-04,1.3256
2004-01-05,1.3257
2004-01-06,1.326
2004-01-07,1.3263
2004-01-08,1.3265
2004-01-09,1.3268
2004-01-10,1.3271
2004-01-11,1.3274
2004-01-12,1.3276
2004-01-13,1.3279
2004-01-14,1.3282
2004-01-15,1.3285
2004-01-16,1.3288
2004-01-17,1.329
2004-01-18,1.3293
2004-01-19,1.3296
2004-01-20,1.3299
2004-01-21,1.3301
2004-01-22,1.3304
2004-01-23,1.3307
2004-01-24,1.331
2004-01-25,1.3313
2004-01-26,1.3315
2004-01-27,1.3318
2004-01-28,1.3321
2004-01-29,1.3324
2004-01-30,1.3326
2004-01-31,1.3329
2004-02-01,1.3332
2004-02-02,1.3335
2004-02-03,1.3338
2004-02-04,1.334
2004-02-05,1.3343
2004-02-06,1.3353
2004-02-07,1.3363
2004-02-08,1.3373
2004-02-09,1.3383
2004-02-10,1.3393
2004-02-11,1.3403
2004-02-12,1.3413
2004-02-13,1.3423
2004-02-14,1.3433
2004-02-15,1.3443
2004-02-16,1.3453
2004-02-17,1.3463
2004-02-18,1.3473
2004-02-19,1.3483
2004-02-20,1.3493
2004-02-21,1.3503
2004-02-22,1.3514
2004-02-23,1.3524
2004-02-24,1.3534
2004-02-25,1.3544
2004-02-26,1.3554
2004-02-27,1.3564
2004-02-28,1.3574
2004-02-29,1.3584
2004-03-01,1.3595
2004-03-02,1.3605
2004-03-03,1.3615
2004-03-04,1.3625
2004-03-05,1.3635
2004-03-06,1.3635
2004-03-07,1.3635
2004-03-08,1.3635
2004-03-09,1.3635
2004-03-10,1.3635
2004-03-11,1.3636
2004-03-12,1.3636
2004-03-13,1.3636
2004-03-14,1.3636
2004-03-15,1.3636
2004-03-16,1.3636
2004-03-17,1.3636
2004-03-18,1.3636
2004-03-19,1.3636
2004-03-20,1.3636
2004-03-21,1.3636
2004-03-22,1.3636
2004-03-23,1.3637
2004-03-24,1.3637
2004-03-25,1.3637
2004-03-26,1.3637
2004-03-27,1.3637
2004-03-28,1.3637
2004-03-29,1.3637
2004-03-30,1.3637
2004-03-31,1.3637
2004-04-01,1.3637
2004-04-02,1.3637
2004-04-03,1.3638
2004-04-04,1.3638
2004-04-05,1.3638
2004-04-06,1.3641
2004-04-07,1.3643
2004-04-08,1.3646
2004-04-09,1.3649
2004-04-10,1.3652
2004-04-11,1.3654
2004-04-12,1.3657
2004-04-13,1.366
2004-04-14,1.3662
2004-04-15,1.3665
2004-04-16,1.3668
2004-04-17,1.3671
2004-04-18,1.3673
2004-04-19,1.3676
2004-04-20,1.3679
2004-04-21,1.3682
2004-04-22,1.3684
2004-04-23,1.3687
2004-04-24,1.369
2004-04-25,1.3692
2004-04-26,1.3695
2004-04-27,1.3698
2004-04-28,1.3701
2004-04-29,1.3703
2004-04-30,1.3706
2004-05-01,1.3709
2004-05-02,1.3712
2004-05-03,1.3714
2004-05-04,1.3717
2004-05-05,1.372
2004-05-06,1.3725
2004-05-07,1.3731
2004-05-08,1.3736
2004-05-09,1.3742
2004-05-10,1.3747
2004-05-11,1.3753
2004-05-12,1.3758
2004-05-13,1.3763
2004-05-14,1.3769
2004-05-15,1.3774
2004-05-16,1.378
2004-05-17,1.3785
2004-05-18,1.3791
2004-05-19,1.3796
2004-05-20,1.3801
2004-05-21,1.3807
2004-05-22,1.3812
2004-05-23,1.3818
2004-05-24,1.3823
2004-05-25,1.3829
2004-05-26,1.3834
2004-05-27,1.384
2004-05-28,1.3845
2004-05-29,1.385
2004-05-30,1.3856
2004-05-31,1.3861
2004-06-01,1.3867
2004-06-02,1.3872
2004-06-03,1.3878
2004-06-04,1.3883
2004-06-05,1.3889
2004-06-06,1.3894
2004-06-07,1.3899
2004-06-08,1.3903
2004-06-09,1.3908
2004-06-10,1.3913
2004-06-11,1.3918
2004-06-12,1.3923
2004-06-13,1.3927
2004-06-14,1.3932
2004-06-15,1.3937
2004-06-16,1.3942
2004-06-17,1.3947
2004-06-18,1.3951
2004-06-19,1.3956
2004-06-20,1.3961
2004-06-21,1.3966
2004-06-22,1.3971
2004-06-23,1.3975
2004-06-24,1.398
2004-06-25,1.3985
2004-06-26,1.399
2004-06-27,1.3995
2004-06-28,1.4
2004-06-29,1.4004
2004-06-30,1.4009
2004-07-01,1.4014
2004-07-02,1.4019
2004-07-03,1.4024
2004-07-04,1.4029
2004-07-05,1.4033
2004-07-06,1.4034
2004-07-07,1.4036
2004-07-08,1.4037
2004-07-09,1.4039
2004-07-10,1.404
2004-07-11,1.4042
2004-07-12,1.4043
2004-07-13,1.4045
2004-07-14,1.4046
2004-07-15,1.4048
2004-07-16,1.4049
2004-07-17,1.4051
2004-07-18,1.4052
2004-07-19,1.4054
2004-07-20,1.4055
2004-07-21,1.4057
2004-07-22,1.4058
2004-07-23,1.406
2004-07-24,1.4061
2004-07-25,1.4063
2004-07-26,1.4064
2004-07-27,1.4066
2004-07-28,1.4067
2004-07-29,1.4069
2004-07-30,1.407
2004-07-31,1.4072
2004-08-01,1.4073
2004-08-02,1.4075
2004-08-03,1.4076
2004-08-04,1.4078
2004-08-05,1.4079
2004-08-06,1.4084
2004-08-07,1.4088
2004-08-08,1.4093
2004-08-09,1.4097
2004-08-10,1.4102
2004-08-11,1.4106
2004-08-12,1.4111
2004-08-13,1.4116
2004-08-14,1.412
2004-08-15,1.4125
2004-08-16,1.4129
2004-08-17,1.4134
2004-08-18,1.4138
2004-08-19,1.4143
2004-08-20,1.4148
2004-08-21,1.4152
2004-08-22,1.4157
2004-08-23,1.4161
2004-08-24,1.4166
2004-08-25,1.4171
2004-08-26,1.4175
2004-08-27,1.418
2004-08-28,1.4184
2004-08-29,1.4189
2004-08-30,1.4194
2004-08-31,1.4198
2004-09-01,1.4203
2004-09-02,1.4207
2004-09-03,1.4212
2004-09-04,1.4217
2004-09-05,1.4221
2004-09-06,1.4227
2004-09-07,1.4232
2004-09-08,1.4238
2004-09-09,1.4243
2004-09-10,1.4249
2004-09-11,1.4254
2004-09-12,1.426
2004-09-13,1.4266
2004-09-14,1.4271
2004-09-15,1.4277
2004-09-16,1.4282
2004-09-17,1.4288
2004-09-18,1.4293
2004-09-19,1.4299
2004-09-20,1.4305
2004-09-21,1.431
2004-09-22,1.4316
2004-09-23,1.4321
2004-09-24,1.4327
2004-09-25,1.4333
2004-09-26,1.4338
2004-09-27,1.4344
2004-09-28,1.4349
2004-09-29,1.4355
2004-09-30,1.4361
2004-10-01,1.4366
2004-10-02,1.4372
2004-10-03,1.4378
2004-10-04,1.4383
2004-10-05,1.4389
2004-10-06,1.439
2004-10-07,1.4392
2004-10-08,1.4393
2004-10-09,1.4394
2004-10-10,1.4395
2004-10-11,1.4397
2004-10-12,1.4398
2004-10-13,1.4399
2004-10-14,1.44
2004-10-15,1.4402
2004-10-16,1.4403
2004-10-17,1.4404
2004-10-18,1.4405
2004-10-19,1.4407
2004-10-20,1.4408
2004-10-21,1.4409
2004-10-22,1.441
2004-10-23,1.4412
2004-10-24,1.4413
2004-10-25,1.4414
2004-10-26,1.4415
2004-10-27,1.4417
2004-10-28,1.4418
2004-10-29,1.4419
2004-10-30,1.442
2004-10-31,1.4422
2004-11-01,1.4423
2004-11-02,1.4424
2004-11-03,1.4425
2004-11-04,1.4427
2004-11-05,1.4428
2004-11-06,1.4426
2004-11-07,1.4425
2004-11-08,1.4423
2004-11-09,1.4422
2004-11-10,1.442
2004-11-11,1.4418
2004-11-12,1.4417
2004-11-13,1.4415
2004-11-14,1.4414
2004-11-15,1.4412
2004-11-16,1.4411
2004-11-17,1.4409
2004-11-18,1.4407
2004-11-19,1.4406
2004-11-20,1.4404
2004-11-21,1.4403
2004-11-22,1.4401
